"Kingdom" "Phylum" "Class" "Order" "Family" "Genus" "Species"
"ASV146" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Tubeufiales" "f__Tubeufiaceae" "g__Tubeufia" "s__helicomyces"
"ASV147" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" NA NA NA
"ASV148" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Bionectriaceae" "g__Clonostachys" "s__rosea"
"ASV149" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Didymellaceae" NA NA
"ASV150" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Cordycipitaceae" "g__Simplicillium" "s__aogashimaense"
"ASV151" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Tubeufiales" "f__Tubeufiaceae" NA NA
"ASV152" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Boliniales" "f__Boliniales_fam_Incertae_sedis" "g__Junewangia" NA
"ASV153" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Auriculariales" "f__Exidiaceae" NA NA
"ASV154" "k__Fungi" "p__Mortierellomycota" "c__Mortierellomycetes" "o__Mortierellales" "f__Mortierellaceae" "g__Mortierella" "s__elongata"
"ASV155" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Phaeosphaeriaceae" "g__Neosetophoma" "s__samararum"
"ASV156" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Agaricales" "f__Bolbitiaceae" "g__Conocybe" "s__zeylanica"
"ASV157" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Pleosporaceae" "g__Alternaria" "s__metachromatica"
"ASV158" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Annulatascales" "f__Annulatascaceae" "g__Dictyosporella" NA
"ASV159" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Sordariales" "f__Lasiosphaeriaceae" "g__Schizothecium" "s__glutinans"
"ASV161" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Cantharellales" "f__Ceratobasidiaceae" "g__Ceratobasidium" NA
"ASV162" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Cantharellales" "f__Cantharellales_fam_Incertae_sedis" "g__Sistotrema" NA
"ASV163" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Hyaloscyphaceae" "g__Cistella" NA
"ASV164" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" "g__Septoglomus" "s__viscosum"
"ASV165" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" "g__Septoglomus" "s__viscosum"
"ASV166" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Pleosporales_fam_Incertae_sedis" "g__Pseudorobillarda" "s__phragmitis"
"ASV168" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Sordariales" "f__Chaetomiaceae" "g__Zopfiella" NA
"ASV169" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Nectriaceae" "g__Gibberella" "s__intricans"
"ASV170" "k__Fungi" "p__Chytridiomycota" "c__Rhizophydiomycetes" "o__Rhizophydiales" "f__Rhizophydiales_fam_Incertae_sedis" "g__Operculomyces" "s__laminatus"
"ASV171" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Sordariales" "f__Lasiosphaeriaceae" "g__Podospora" "s__decidua"
"ASV172" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" "g__Septoglomus" "s__viscosum"
"ASV173" "k__Fungi" "p__Mortierellomycota" "c__Mortierellomycetes" "o__Mortierellales" NA NA NA
"ASV174" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" "g__Rhizophagus" "s__irregularis"
