OTU_ID	taxonomy
ASV_890	;Glomus;aggregatum
ASV_892	;Schizothecium;glutinans
ASV_893	;Neoascochyta;argentina
ASV_894	;NA;NA
ASV_895	;Chalara;heteroderae
ASV_897	;Glomus;NA
ASV_898	;Sclerostagonospora;NA
ASV_899	;Septoglomus;NA
ASV_900	;NA;NA
ASV_901	;Podospora;NA
ASV_902	;NA;NA
ASV_903	;Arthrobotrys;NA
ASV_906	;Septoglomus;viscosum
ASV_907	;Agrocybe;pediades
ASV_908	;Mortierella;alpina
ASV_909	;Iodophanus;NA
ASV_910	;Exophiala;bonariae
ASV_911	;Ascobolus;NA
ASV_912	;Glomus;macrocarpum
ASV_913	;Glomus;indicum
ASV_915	;NA;NA
ASV_916	;Achroiostachys;betulicola
ASV_917	;NA;NA
ASV_918	;Ascobolus;NA
ASV_919	;Cladorrhinum;NA
ASV_920	;Leucosporidium;intermedium
ASV_923	;NA;NA
ASV_924	;NA;NA
ASV_925	;NA;NA
ASV_927	;Pseudaleuria;NA
ASV_929	;Pseudopithomyces;rosae
ASV_930	;Chalara;NA
ASV_931	;Rhizophlyctis;rosea
ASV_932	;NA;NA
ASV_933	;NA;NA
ASV_935	;NA;NA
ASV_936	;Chloridium;aseptatum
ASV_937	;NA;NA
ASV_938	;NA;NA
ASV_939	;Preussia;persica
ASV_942	;NA;NA
ASV_943	;Funneliformis;mosseae
ASV_944	;Phaeosphaeria;NA
ASV_945	;Myrothecium;verrucaria
ASV_946	;Fusarium;polyphialidicum
ASV_948	;Parastagonospora;NA
ASV_949	;Endophragmiella;NA
ASV_950	;Paraglomus;NA
ASV_951	;Crocicreas;NA
ASV_952	;Penicillium;NA
ASV_954	;Penicillium;NA
ASV_956	;Limonomyces;NA
ASV_957	;Scytalidium;lignicola
ASV_958	;Thanatephorus;cucumeris
ASV_959	;NA;NA
ASV_960	;Allophaeosphaeria;cytisi
ASV_961	;Vagicola;chlamydospora
ASV_962	;Cistella;NA
ASV_963	;NA;NA
ASV_964	;Mrakia;NA
ASV_966	;Didymella;NA
ASV_967	;Septoglomus;NA
ASV_968	;NA;NA
ASV_970	;NA;NA
ASV_971	;Septoglomus;viscosum
ASV_972	;NA;NA
ASV_973	;Rhizophagus;NA
ASV_975	;Lectera;longa
ASV_976	;Trichoderma;spirale
ASV_978	;NA;NA
ASV_979	;Kochiomyces;NA
ASV_980	;NA;NA
ASV_982	;Claroideoglomus;NA
ASV_984	;Diversispora;NA
ASV_985	;NA;NA
ASV_986	;NA;NA
ASV_987	;Operculomyces;laminatus
ASV_988	;Penicillium;NA
ASV_991	;Rhizophlyctis;rosea
ASV_992	;Glomus;macrocarpum
ASV_993	;NA;NA
ASV_994	;NA;NA
ASV_996	;Gigaspora;NA
ASV_997	;NA;NA
ASV_999	;Phaeosphaeria;NA
ASV_1000	;Conioscypha;bambusicola
ASV_1001	;Septoglomus;constrictum
ASV_1002	;Ramicandelaber;NA
ASV_1003	;NA;NA
ASV_1007	;Exophiala;alcalophila
ASV_1008	;Conocybe;mesospora
ASV_1009	;NA;NA
ASV_1010	;Coprinopsis;friesii
ASV_1014	;Myrmecridium;NA
ASV_1015	;Disciseda;NA
ASV_1016	;Rhizophagus;irregularis
ASV_1017	;NA;NA
ASV_1018	;Funneliformis;mosseae
ASV_1021	;Rhizophagus;irregularis
ASV_1022	;NA;NA
ASV_1023	;Mortierella;NA
ASV_1024	;Sagenomella;oligospora
ASV_1025	;Curvularia;NA
ASV_1026	;NA;NA
ASV_1027	;NA;NA
ASV_1030	;NA;NA
ASV_1031	;Idriella;NA
ASV_1035	;Subulicystidium;NA
ASV_1036	;Mortierella;NA
ASV_1037	;Clitopilus;NA
ASV_1038	;Funneliformis;mosseae
ASV_1039	;NA;NA
ASV_1040	;NA;NA
ASV_1041	;Coniochaeta;NA
ASV_1042	;NA;NA
ASV_1043	;NA;NA
ASV_1045	;Psathyrella;candolleana
ASV_1048	;NA;NA
ASV_1050	;Occultifur;NA
ASV_1051	;Articulospora;proliferata
ASV_1052	;NA;NA
ASV_1053	;Alternaria;metachromatica
ASV_1054	;Glomus;macrocarpum
ASV_1056	;Hannaella;zeae
