"","Kingdom","Phylum","Class","Order","Family","Genus"
"ASV_15806","Bacteria",NA,NA,NA,NA,NA
"ASV_15813","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter"
"ASV_15814","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Terrimicrobiaceae","Terrimicrobium"
"ASV_15823","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Filimonas"
"ASV_15824","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"ASV_15826","Bacteria","Acidobacteria","Blastocatellia_(Subgroup_4)","Blastocatellales","Blastocatellaceae","Blastocatella"
"ASV_15843","Bacteria","Proteobacteria","Alphaproteobacteria","Dongiales","Dongiaceae","Dongia"
"ASV_15844","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter"
"ASV_15846","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","mle1-27",NA
"ASV_15847","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Labraceae","Labrys"
"ASV_15848","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales",NA,NA
"ASV_15849","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Steroidobacteraceae","Steroidobacter"
"ASV_15850","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Rhodanobacter"
"ASV_15851","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales",NA,NA
"ASV_15879","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae",NA
"ASV_15880","Bacteria","Chloroflexi","Chloroflexia","Kallotenuales","AKIW781",NA
"ASV_15923","Bacteria","Proteobacteria","Deltaproteobacteria","NB1-j",NA,NA
