"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_32","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium",NA
"ASV_34","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Humicola","grisea"
"ASV_35","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusicolla","aquaeductuum"
"ASV_36","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Melanommataceae",NA,NA
"ASV_38","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Setophoma","terrestris"
"ASV_41","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella",NA
"ASV_42","Fungi","Olpidiomycota","Olpidiomycetes","Olpidiales","Olpidiaceae","Olpidium","brassicae"
"ASV_43","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales",NA,NA,NA
"ASV_44","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Periconiaceae","Periconia",NA
"ASV_45","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae",NA,NA
"ASV_46","Fungi","Ascomycota","Sordariomycetes","Branch06",NA,NA,NA
"ASV_47","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Setophoma","terrestris"
"ASV_48","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusicolla","aquaeductuum"
"ASV_52","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Corynesporascaceae","Corynespora","cassiicola"
"ASV_54","Fungi","Ascomycota","Sordariomycetes","Xylariales","Microdochiaceae","Microdochium",NA
"ASV_56","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiales_fam_Incertae_sedis","Spirosphaera","cupreorufescens"
"ASV_57","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium",NA
"ASV_58","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","decumbens"
"ASV_59","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","solani"
"ASV_60","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium",NA
"ASV_61","Fungi","Basidiomycota","Classiculomycetes","Classiculales","Classiculaceae",NA,NA
"ASV_62","Fungi","Olpidiomycota","Olpidiomycetes","Olpidiales","Olpidiaceae","Olpidium","brassicae"
"ASV_63","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","oxysporum"
"ASV_64","Fungi","Basidiomycota","Ustilaginomycetes","Ustilaginales","Ustilaginaceae","Ustilago","maydis"
"ASV_65","Fungi","Ascomycota","Sordariomycetes","Branch06",NA,NA,NA
