"Kingdom" "Phylum" "Class" "Order" "Family" "Genus"
"ASV294" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Betaproteobacteriales" "Burkholderiaceae" "Burkholderia-Caballeronia-Paraburkholderia"
"ASV295" "Bacteria" "Actinobacteria" "MB-A2-108" NA NA NA
"ASV296" "Bacteria" "Acidobacteria" "Subgroup_17" NA NA NA
"ASV297" "Bacteria" "Actinobacteria" "Thermoleophilia" "Gaiellales" "Gaiellaceae" "Gaiella"
"ASV299" "Bacteria" "Actinobacteria" "Actinobacteria" "Propionibacteriales" "Nocardioidaceae" "Nocardioides"
"ASV300" "Bacteria" "Rokubacteria" "NC10" "Rokubacteriales" NA NA
"ASV302" "Bacteria" "Verrucomicrobia" "Verrucomicrobiae" "Chthoniobacterales" "Chthoniobacteraceae" "Chthoniobacter"
"ASV303" "Bacteria" "Bacteroidetes" "Bacteroidia" "Chitinophagales" "Chitinophagaceae" "Niastella"
"ASV305" "Bacteria" "Planctomycetes" "Planctomycetacia" "Gemmatales" "Gemmataceae" "Zavarzinella"
"ASV308" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Betaproteobacteriales" "Burkholderiaceae" "Variovorax"
"ASV309" "Archaea" "Thaumarchaeota" "Nitrososphaeria" "Nitrososphaerales" "Nitrososphaeraceae" NA
"ASV310" "Bacteria" "Verrucomicrobia" "Verrucomicrobiae" "Chthoniobacterales" "Chthoniobacteraceae" "Candidatus_Udaeobacter"
"ASV312" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Pseudomonadaceae" "Pseudomonas"
"ASV313" "Bacteria" "Verrucomicrobia" "Verrucomicrobiae" "Chthoniobacterales" "Chthoniobacteraceae" "Candidatus_Udaeobacter"
"ASV314" "Bacteria" "Chloroflexi" "KD4-96" NA NA NA
"ASV315" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Betaproteobacteriales" "Burkholderiaceae" "Pseudoduganella"
"ASV316" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Xanthobacteraceae" NA
